CG_PROD,DES_PROD,CANT,FE_ENTREGA,FE_EMIT,FE_CIERRE,PEDIDO,FECHA_PREVISTA_FABRICACION,FECHA_INICIO_REAL_FABRICACION,TOT_DOL
1725D9M9HAM1325,"1700 1""x1"" NPT(M)xNPT(H) Tob1"" Std.",1.0,2023-09-05,2023-07-10 15:06:15.533,,61370,,,496.4
1725D9M9HAM1325,"1700 1""x1"" NPT(M)xNPT(H) Tob1"" Std.",1.0,2023-09-05,2023-07-10 15:06:17.153,,61371,,,496.4
1725D9M9HAM1325,"1700 1""x1"" NPT(M)xNPT(H) Tob1"" Std.",1.0,2023-09-05,2023-07-10 15:06:19.677,,61372,,,496.4
1725D9M9HAM1325,"1700 1""x1"" NPT(M)xNPT(H) Tob1"" Std.",1.0,2023-09-05,2023-07-10 15:06:20.853,,61373,,,496.4
1725D9M9HAM1325,"1700 1""x1"" NPT(M)xNPT(H) Tob1"" Std.",1.0,2023-09-05,2023-07-10 15:06:21.830,,61374,,,496.4
1725D9M9HAM1325,"1700 1""x1"" NPT(M)xNPT(H) Tob1"" Std.",1.0,2023-09-05,2023-07-10 15:06:22.890,,61375,,,496.4
1725D9M9HAM1325,"1700 1""x1"" NPT(M)xNPT(H) Tob1"" Std.",1.0,2023-09-05,2023-07-10 15:06:23.743,,61376,,,496.4
1725D9M9HAM1325,"1700 1""x1"" NPT(M)xNPT(H) Tob1"" Std.",1.0,2023-09-05,2023-07-10 15:06:24.607,,61377,,,496.4
1725D9M9HAM1325,"1700 1""x1"" NPT(M)xNPT(H) Tob1"" Std.",1.0,2023-09-05,2023-07-10 15:06:25.333,,61378,,,496.4
1725D9M9HAM1325,"1700 1""x1"" NPT(M)xNPT(H) Tob1"" Std.",1.0,2023-09-05,2023-07-10 15:06:26.073,,61379,,,496.4
2651L1R1RAM1014,"2600 3""L4"" 150(RF)x150(RF)",1.0,2023-09-05,2023-06-23 12:23:34.267,,61284,,,4683.0
2851K2R1RFM1010,"2800 3""K4"" 300(RF)x150(RF) Con Palanca",1.0,2023-09-05,2023-06-23 12:23:35.060,,61282,,,2720.0
2851K2R1RFM1010,"2800 3""K4"" 300(RF)x150(RF) Con Palanca",1.0,2023-09-05,2023-06-23 12:23:35.833,,61283,,,2720.0
