,CG_PROD,DES_PROD,CANT,SIMULTANEO,FE_ENTREGA,FE_EMIT,FE_CIERRE,PEDIDO,FECHA_PREVISTA_FABRICACION,FECHA_INICIO_REAL_FABRICACION,TOT_DOL
3280,43151R,"Filtro Simple 1/2"" S.150",1.0,[0. 0. 0. ... 0. 0. 0.],737485,737436,2020-06-29 15:48:34.400,56597,2021-02-10 18:00:00.000,2021-02-10 18:00:00.000,244.0
3281,43151R,"Filtro Simple 1/2"" S.150",1.0,[0. 0. 0. ... 0. 0. 0.],737485,737436,2020-06-29 15:48:47.337,56598,2021-02-13 10:00:00.000,2021-02-13 10:00:00.000,244.0
3282,2642J1R1RSM2242,"2600 2""J3"" 150(RF)x150(RF)",1.0,[0. 0. 0. ... 0. 0. 0.],737483,737447,2020-11-25 09:58:58.283,56600,2021-07-14 18:00:00.000,2021-07-14 18:00:00.000,2110.4
3283,2642J1R1RSM2242,"2600 2""J3"" 150(RF)x150(RF)",1.0,[0. 0. 0. ... 0. 0. 0.],737483,737447,2020-11-25 09:59:18.340,56601,2021-07-17 10:00:00.000,2021-07-17 10:00:00.000,2110.4
3284,2642J1R1RSM2242,"2600 2""J3"" 150(RF)x150(RF)",1.0,[0. 0. 0. ... 0. 0. 0.],737483,737447,2020-11-25 10:00:29.253,56599,2021-07-21 18:00:00.000,2021-07-21 18:00:00.000,2110.4
3285,2838G1R1RSM2242,"2800 1.1/2""G3"" 150(RF)x150(RF) sellada",1.0,[0. 0. 0. ... 0. 0. 0.],737483,737436,2020-11-25 09:57:37.217,56602,2021-07-13 14:00:00.000,2021-07-13 14:00:00.000,1466.4
3286,1736F9M9HAM4425,"1700 1.1/2""x2"" NPT(M)xNPT(H) Tob1"" Std.",1.0,[0. 0. 0. ... 0. 0. 0.],737482,737436,2020-10-21 13:56:26.937,56611,2022-06-08 18:00:00.000,2022-06-08 18:00:00.000,455.0
3287,1841X7M7HFM2014,"1800 2""x2.1/2"" BSP(M)xBSP(H) Con Palanca",1.0,[0. 0. 0. ... 0. 0. 0.],737482,737454,2020-07-13 13:21:13.397,56636,2021-10-04 18:00:00.000,2021-10-04 18:00:00.000,860.8
3288,2642J1R1RSM2242,"2600 2""J3"" 150(RF)x150(RF)",1.0,[0. 0. 0. ... 0. 0. 0.],737481,737447,2020-07-29 14:23:25.770,56593,2024-05-07 14:00:00.000,2024-05-07 14:00:00.000,2110.4
3289,2642J1R1RSM2242,"2600 2""J3"" 150(RF)x150(RF)",1.0,[0. 0. 0. ... 0. 0. 0.],737481,737447,2020-07-29 14:30:32.773,56594,2024-05-11 10:00:00.000,2024-05-11 10:00:00.000,2110.4
3290,1816XZC7HFM1214,"1800 1/2""x3/4"" CLAMP x BSP(H) Con palanca",1.0,[0. 0. 0. ... 0. 0. 0.],737476,737454,2020-06-05 11:13:33.560,56637,2023-12-12 14:00:00.000,2023-12-12 14:00:00.000,616.0
3291,1816XZC7HFM1214,"1800 1/2""x3/4"" CLAMP x BSP(H) Con palanca",1.0,[0. 0. 0. ... 0. 0. 0.],737476,737454,2020-06-05 11:13:50.130,56638,2023-12-13 18:00:00.000,2023-12-13 18:00:00.000,616.0
3292,2628E2R1RAM2214,"2600 1""E2"" 300(RF)x150(RF)",1.0,[0. 0. 0. ... 0. 0. 0.],737469,737512,2021-01-04 09:11:18.130,56363,2022-03-01 14:00:00.000,2022-03-01 14:00:00.000,1130.5
3293,2628E2R1RAM2214,"2600 1""E2"" 300(RF)x150(RF)",1.0,[0. 0. 0. ... 0. 0. 0.],737469,737512,2021-01-04 09:16:32.947,56362,2022-03-12 10:00:00.000,2022-03-12 10:00:00.000,1130.5
3294,2628E2R1RAM2214,"2600 1""E2"" 300(RF)x150(RF)",1.0,[0. 0. 0. ... 0. 0. 0.],737469,737512,2021-01-04 09:16:53.823,56361,2022-03-09 18:00:00.000,2022-03-09 18:00:00.000,1130.5
3295,2628E2R1RAM2214,"2600 1""E2"" 300(RF)x150(RF)",1.0,[0. 0. 0. ... 0. 0. 0.],737469,737512,2021-01-04 09:17:21.457,56360,2022-03-08 14:00:00.000,2022-03-08 14:00:00.000,1130.5
3296,2628E2R1RAM2214,"2600 1""E2"" 300(RF)x150(RF)",1.0,[0. 0. 0. ... 0. 0. 0.],737469,737512,2021-01-04 09:11:59.640,56359,2022-02-26 10:00:00.000,2022-02-26 10:00:00.000,1130.5
3297,2628E2R1RAM2214,"2600 1""E2"" 300(RF)x150(RF)",1.0,[0. 0. 0. ... 0. 0. 0.],737469,737512,2021-01-04 09:10:50.827,56358,2022-02-23 18:00:00.000,2022-02-23 18:00:00.000,1130.5
3298,2628E2R1RAM2214,"2600 1""E2"" 300(RF)x150(RF)",1.0,[0. 0. 0. ... 0. 0. 0.],737469,737512,2021-01-04 09:10:31.217,56357,2022-02-19 10:00:00.000,2022-02-19 10:00:00.000,1130.5
3299,2628E2R1RAM2214,"2600 1""E2"" 300(RF)x150(RF)",1.0,[0. 0. 0. ... 0. 0. 0.],737469,737512,2021-01-04 09:12:56.423,56356,2022-04-02 10:00:00.000,2022-04-02 10:00:00.000,1130.5
3300,2628E2R1RAM2214,"2600 1""E2"" 300(RF)x150(RF)",1.0,[0. 0. 0. ... 0. 0. 0.],737469,737512,2021-01-04 09:13:16.080,56351,2022-03-30 18:00:00.000,2022-03-30 18:00:00.000,1130.5
3301,2628E2R1RAM2214,"2600 1""E2"" 300(RF)x150(RF)",1.0,[0. 0. 0. ... 0. 0. 0.],737469,737512,2021-01-04 09:13:37.757,56350,2022-03-29 14:00:00.000,2022-03-29 14:00:00.000,1130.5
3302,2628E2R1RAM2214,"2600 1""E2"" 300(RF)x150(RF)",1.0,[0. 0. 0. ... 0. 0. 0.],737469,737512,2021-01-04 09:13:58.440,56355,2022-03-26 10:00:00.000,2022-03-26 10:00:00.000,1130.5
3303,2628E2R1RAM2214,"2600 1""E2"" 300(RF)x150(RF)",1.0,[0. 0. 0. ... 0. 0. 0.],737469,737512,2021-01-04 09:14:42.223,56354,2022-03-23 18:00:00.000,2022-03-23 18:00:00.000,1130.5
3304,2628E2R1RAM2214,"2600 1""E2"" 300(RF)x150(RF)",1.0,[0. 0. 0. ... 0. 0. 0.],737469,737512,2021-01-04 09:15:10.323,56353,2022-03-19 10:00:00.000,2022-03-19 10:00:00.000,1130.5
3305,2628E2R1RAM2214,"2600 1""E2"" 300(RF)x150(RF)",1.0,[0. 0. 0. ... 0. 0. 0.],737469,737512,2021-01-04 09:12:33.637,56352,2022-03-05 10:00:00.000,2022-03-05 10:00:00.000,1130.5
3306,2628E2R1RAM2214,"2600 1""E2"" 300(RF)x150(RF)",1.0,[0. 0. 0. ... 0. 0. 0.],737469,737512,2021-01-04 09:15:41.877,56365,2022-03-16 18:00:00.000,2022-03-16 18:00:00.000,1130.5
3307,2628E2R1RAM2214,"2600 1""E2"" 300(RF)x150(RF)",1.0,[0. 0. 0. ... 0. 0. 0.],737469,737512,2021-01-04 09:16:02.137,56364,2022-03-15 14:00:00.000,2022-03-15 14:00:00.000,1130.5
3308,2651K1R1RBM1015,"2600 3""K4"" 150(RF)x150(RF)",1.0,[0. 0. 0. ... 0. 0. 0.],737465,737488,,56613,,,0.0
3309,2651K1R1RBM1015,"2600 3""K4"" 150(RF)x150(RF)",1.0,[0. 0. 0. ... 0. 0. 0.],737465,737488,,56612,,,0.0
3310,1841X9H9HAM1414,"1800 2""x2.1/2"" NPT(H)xNPT(H).",1.0,[0. 0. 0. ... 0. 0. 0.],737464,737440,2020-06-05 11:14:34.420,56627,2023-12-20 18:00:00.000,2023-12-20 18:00:00.000,699.0
3311,1835X8M7HFM1310,"1800 1.1/2""x1.1/2"" BSPT(M)xBSP(H) con palanca de prueba",1.0,[0. 0. 0. ... 0. 0. 0.],737462,737440,2020-06-05 11:14:49.280,56623,2023-12-09 10:00:00.000,2023-12-09 10:00:00.000,592.0
